# rho - energy density in [g/cm^3]
# R   - radius in km
# M   - mass in solar masses
# chi[0] - the scalar field in the centre of the star
# abs(alpha_A) - the absolut value of alpha_A for this star
# beta   - theory parameter (for now set to 0)
# alpha  - theory parameters, related to the Brans-Dicke parameter. This is the one we want to sample
# log(alpha) - the table is build to have equal spacing between the models in terms of log(alpha), and NOT alpha alone
#   rho          R             M           chi[0]    abs(alpha_A)      beta        alpha      log(alpha) 
  6.5695e+14   1.1413e+01   7.0000e-01  -2.4417e-05   1.1819e-04   0.0000e+00   1.4125e-04  -3.8500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -2.7396e-05   1.3261e-04   0.0000e+00   1.5849e-04  -3.8000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -3.0739e-05   1.4879e-04   0.0000e+00   1.7783e-04  -3.7500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -3.4490e-05   1.6695e-04   0.0000e+00   1.9953e-04  -3.7000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -3.8698e-05   1.8732e-04   0.0000e+00   2.2387e-04  -3.6500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -4.3420e-05   2.1018e-04   0.0000e+00   2.5119e-04  -3.6000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -4.8718e-05   2.3582e-04   0.0000e+00   2.8184e-04  -3.5500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -5.4662e-05   2.6460e-04   0.0000e+00   3.1623e-04  -3.5000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -6.1332e-05   2.9688e-04   0.0000e+00   3.5481e-04  -3.4500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -6.8816e-05   3.3311e-04   0.0000e+00   3.9811e-04  -3.4000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -7.7213e-05   3.7376e-04   0.0000e+00   4.4668e-04  -3.3500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -8.6634e-05   4.1936e-04   0.0000e+00   5.0119e-04  -3.3000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -9.7205e-05   4.7053e-04   0.0000e+00   5.6234e-04  -3.2500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -1.0907e-04   5.2794e-04   0.0000e+00   6.3096e-04  -3.2000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -1.2237e-04   5.9236e-04   0.0000e+00   7.0795e-04  -3.1500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -1.3731e-04   6.6464e-04   0.0000e+00   7.9433e-04  -3.1000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -1.5406e-04   7.4574e-04   0.0000e+00   8.9125e-04  -3.0500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -1.7286e-04   8.3673e-04   0.0000e+00   1.0000e-03  -3.0000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -1.9395e-04   9.3883e-04   0.0000e+00   1.1220e-03  -2.9500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -2.1762e-04   1.0534e-03   0.0000e+00   1.2589e-03  -2.9000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -2.4417e-04   1.1819e-03   0.0000e+00   1.4125e-03  -2.8500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -2.7396e-04   1.3261e-03   0.0000e+00   1.5849e-03  -2.8000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -3.0739e-04   1.4879e-03   0.0000e+00   1.7783e-03  -2.7500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -3.4490e-04   1.6695e-03   0.0000e+00   1.9953e-03  -2.7000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -3.8698e-04   1.8732e-03   0.0000e+00   2.2387e-03  -2.6500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -4.3420e-04   2.1018e-03   0.0000e+00   2.5119e-03  -2.6000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -4.8718e-04   2.3582e-03   0.0000e+00   2.8184e-03  -2.5500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -5.4662e-04   2.6460e-03   0.0000e+00   3.1623e-03  -2.5000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -6.1332e-04   2.9688e-03   0.0000e+00   3.5481e-03  -2.4500e+00 
  6.5696e+14   1.1413e+01   7.0000e-01  -6.8816e-04   3.3311e-03   0.0000e+00   3.9811e-03  -2.4000e+00 
  6.5696e+14   1.1413e+01   7.0000e-01  -7.7213e-04   3.7375e-03   0.0000e+00   4.4668e-03  -2.3500e+00 
  6.5696e+14   1.1413e+01   7.0000e-01  -8.6634e-04   4.1936e-03   0.0000e+00   5.0119e-03  -2.3000e+00 
  6.5696e+14   1.1413e+01   7.0000e-01  -9.7204e-04   4.7053e-03   0.0000e+00   5.6234e-03  -2.2500e+00 
  6.5696e+14   1.1412e+01   7.0000e-01  -1.0907e-03   5.2794e-03   0.0000e+00   6.3096e-03  -2.2000e+00 
  6.5696e+14   1.1412e+01   7.0000e-01  -1.2237e-03   5.9236e-03   0.0000e+00   7.0795e-03  -2.1500e+00 
  6.5696e+14   1.1412e+01   7.0000e-01  -1.3730e-03   6.6464e-03   0.0000e+00   7.9433e-03  -2.1000e+00 
  6.5697e+14   1.1412e+01   7.0000e-01  -1.5406e-03   7.4573e-03   0.0000e+00   8.9125e-03  -2.0500e+00 
  6.5697e+14   1.1412e+01   7.0000e-01  -1.7285e-03   8.3672e-03   0.0000e+00   1.0000e-02  -2.0000e+00 
  6.5698e+14   1.1412e+01   7.0000e-01  -1.9394e-03   9.3882e-03   0.0000e+00   1.1220e-02  -1.9500e+00 
  6.5698e+14   1.1412e+01   7.0000e-01  -2.1761e-03   1.0534e-02   0.0000e+00   1.2589e-02  -1.9000e+00 
  6.5699e+14   1.1412e+01   7.0000e-01  -2.4416e-03   1.1819e-02   0.0000e+00   1.4125e-02  -1.8500e+00 
  6.5700e+14   1.1412e+01   7.0000e-01  -2.7395e-03   1.3261e-02   0.0000e+00   1.5849e-02  -1.8000e+00 
  6.5701e+14   1.1412e+01   7.0000e-01  -3.0737e-03   1.4879e-02   0.0000e+00   1.7783e-02  -1.7500e+00 
  6.5703e+14   1.1412e+01   7.0000e-01  -3.4487e-03   1.6694e-02   0.0000e+00   1.9953e-02  -1.7000e+00 
  6.5705e+14   1.1412e+01   7.0000e-01  -3.8694e-03   1.8731e-02   0.0000e+00   2.2387e-02  -1.6500e+00 
  6.5708e+14   1.1411e+01   7.0000e-01  -4.3414e-03   2.1016e-02   0.0000e+00   2.5119e-02  -1.6000e+00 
  6.5711e+14   1.1411e+01   7.0000e-01  -4.8709e-03   2.3580e-02   0.0000e+00   2.8184e-02  -1.5500e+00 
  6.5715e+14   1.1411e+01   7.0000e-01  -5.4650e-03   2.6457e-02   0.0000e+00   3.1623e-02  -1.5000e+00 
  6.5720e+14   1.1410e+01   7.0000e-01  -6.1315e-03   2.9684e-02   0.0000e+00   3.5481e-02  -1.4500e+00 
  6.5726e+14   1.1409e+01   7.0000e-01  -6.8791e-03   3.3305e-02   0.0000e+00   3.9811e-02  -1.4000e+00 
  6.5735e+14   1.1408e+01   7.0000e-01  -7.7178e-03   3.7367e-02   0.0000e+00   4.4668e-02  -1.3500e+00 
  6.5745e+14   1.1407e+01   7.0000e-01  -8.6584e-03   4.1923e-02   0.0000e+00   5.0119e-02  -1.3000e+00 
  6.5758e+14   1.1406e+01   7.0000e-01  -9.7135e-03   4.7035e-02   0.0000e+00   5.6234e-02  -1.2500e+00 
  6.5774e+14   1.1404e+01   7.0000e-01  -1.0897e-02   5.2769e-02   0.0000e+00   6.3096e-02  -1.2000e+00 
  6.5794e+14   1.1402e+01   7.0000e-01  -1.2223e-02   5.9201e-02   0.0000e+00   7.0795e-02  -1.1500e+00 
  6.5820e+14   1.1400e+01   7.0000e-01  -1.3711e-02   6.6414e-02   0.0000e+00   7.9433e-02  -1.1000e+00 
  6.5852e+14   1.1396e+01   7.0000e-01  -1.5378e-02   7.4503e-02   0.0000e+00   8.9125e-02  -1.0500e+00 
  6.5892e+14   1.1392e+01   7.0000e-01  -1.7246e-02   8.3574e-02   0.0000e+00   1.0000e-01  -1.0000e+00 
  6.5943e+14   1.1387e+01   7.0000e-01  -1.9339e-02   9.3743e-02   0.0000e+00   1.1220e-01  -9.5000e-01 
  6.6006e+14   1.1381e+01   7.0000e-01  -2.1683e-02   1.0514e-01   0.0000e+00   1.2589e-01  -9.0000e-01 
