# rho - energy density in [g/cm^3]
# R   - radius in km
# M   - mass in solar masses
# chi[0] - the scalar field in the centre of the star
# abs(alpha_A) - the absolut value of alpha_A for this star
# beta   - theory parameter (for now set to 0)
# alpha  - theory parameters, related to the Brans-Dicke parameter. This is the one we want to sample
# log(alpha) - the table is build to have equal spacing between the models in terms of log(alpha), and NOT alpha alone
#   rho          R             M           chi[0]    abs(alpha_A)      beta        alpha      log(alpha) 
  7.0196e+14   1.1787e+01   9.0000e-01  -6.1923e-02   2.5004e-01   0.0000e+00   3.1623e-01  -5.0000e-01 
  7.0670e+14   1.1762e+01   9.0000e-01  -6.8987e-02   2.7974e-01   0.0000e+00   3.5481e-01  -4.5000e-01 
  7.1249e+14   1.1733e+01   9.0000e-01  -7.6723e-02   3.1276e-01   0.0000e+00   3.9811e-01  -4.0000e-01 
  7.1953e+14   1.1699e+01   9.0000e-01  -8.5146e-02   3.4940e-01   0.0000e+00   4.4668e-01  -3.5000e-01 
  7.2802e+14   1.1661e+01   9.0000e-01  -9.4248e-02   3.8996e-01   0.0000e+00   5.0119e-01  -3.0000e-01 
  7.3816e+14   1.1618e+01   9.0000e-01  -1.0400e-01   4.3475e-01   0.0000e+00   5.6234e-01  -2.5000e-01 
  7.5018e+14   1.1572e+01   9.0000e-01  -1.1433e-01   4.8408e-01   0.0000e+00   6.3096e-01  -2.0000e-01 
  7.6424e+14   1.1524e+01   9.0000e-01  -1.2514e-01   5.3824e-01   0.0000e+00   7.0795e-01  -1.5000e-01 
  7.8052e+14   1.1475e+01   9.0000e-01  -1.3628e-01   5.9752e-01   0.0000e+00   7.9433e-01  -1.0000e-01 
  7.9910e+14   1.1428e+01   9.0000e-01  -1.4755e-01   6.6219e-01   0.0000e+00   8.9125e-01  -5.0000e-02 
  8.2005e+14   1.1386e+01   9.0000e-01  -1.5874e-01   7.3252e-01   0.0000e+00   1.0000e+00  -4.6288e-15 

 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.0478e-07   7.9536e-07   0.0000e+00   1.0000e-06  -6.0000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.2976e-07   8.9241e-07   0.0000e+00   1.1220e-06  -5.9500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.5780e-07   1.0013e-06   0.0000e+00   1.2589e-06  -5.9000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.8926e-07   1.1235e-06   0.0000e+00   1.4125e-06  -5.8500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -3.2455e-07   1.2606e-06   0.0000e+00   1.5849e-06  -5.8000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -3.6415e-07   1.4144e-06   0.0000e+00   1.7783e-06  -5.7500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -4.0859e-07   1.5869e-06   0.0000e+00   1.9953e-06  -5.7000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -4.5844e-07   1.7806e-06   0.0000e+00   2.2387e-06  -5.6500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -5.1438e-07   1.9978e-06   0.0000e+00   2.5119e-06  -5.6000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -5.7714e-07   2.2416e-06   0.0000e+00   2.8184e-06  -5.5500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -6.4756e-07   2.5151e-06   0.0000e+00   3.1623e-06  -5.5000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -7.2658e-07   2.8220e-06   0.0000e+00   3.5481e-06  -5.4500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -8.1524e-07   3.1664e-06   0.0000e+00   3.9811e-06  -5.4000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -9.1471e-07   3.5527e-06   0.0000e+00   4.4668e-06  -5.3500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.0263e-06   3.9862e-06   0.0000e+00   5.0119e-06  -5.3000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.1516e-06   4.4726e-06   0.0000e+00   5.6234e-06  -5.2500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.2921e-06   5.0184e-06   0.0000e+00   6.3096e-06  -5.2000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.4497e-06   5.6307e-06   0.0000e+00   7.0795e-06  -5.1500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.6266e-06   6.3178e-06   0.0000e+00   7.9433e-06  -5.1000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.8251e-06   7.0886e-06   0.0000e+00   8.9125e-06  -5.0500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.0478e-06   7.9536e-06   0.0000e+00   1.0000e-05  -5.0000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.2976e-06   8.9241e-06   0.0000e+00   1.1220e-05  -4.9500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.5780e-06   1.0013e-05   0.0000e+00   1.2589e-05  -4.9000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.8926e-06   1.1235e-05   0.0000e+00   1.4125e-05  -4.8500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -3.2455e-06   1.2606e-05   0.0000e+00   1.5849e-05  -4.8000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -3.6415e-06   1.4144e-05   0.0000e+00   1.7783e-05  -4.7500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -4.0859e-06   1.5869e-05   0.0000e+00   1.9953e-05  -4.7000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -4.5844e-06   1.7806e-05   0.0000e+00   2.2387e-05  -4.6500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -5.1438e-06   1.9978e-05   0.0000e+00   2.5119e-05  -4.6000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -5.7714e-06   2.2416e-05   0.0000e+00   2.8184e-05  -4.5500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -6.4756e-06   2.5151e-05   0.0000e+00   3.1623e-05  -4.5000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -7.2658e-06   2.8220e-05   0.0000e+00   3.5481e-05  -4.4500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -8.1524e-06   3.1664e-05   0.0000e+00   3.9811e-05  -4.4000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -9.1471e-06   3.5527e-05   0.0000e+00   4.4668e-05  -4.3500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.0263e-05   3.9862e-05   0.0000e+00   5.0119e-05  -4.3000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.1516e-05   4.4726e-05   0.0000e+00   5.6234e-05  -4.2500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.2921e-05   5.0184e-05   0.0000e+00   6.3096e-05  -4.2000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.4497e-05   5.6307e-05   0.0000e+00   7.0795e-05  -4.1500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.6266e-05   6.3178e-05   0.0000e+00   7.9433e-05  -4.1000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.8251e-05   7.0886e-05   0.0000e+00   8.9125e-05  -4.0500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.0478e-05   7.9536e-05   0.0000e+00   1.0000e-04  -4.0000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.2976e-05   8.9241e-05   0.0000e+00   1.1220e-04  -3.9500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.5780e-05   1.0013e-04   0.0000e+00   1.2589e-04  -3.9000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.8926e-05   1.1235e-04   0.0000e+00   1.4125e-04  -3.8500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -3.2455e-05   1.2606e-04   0.0000e+00   1.5849e-04  -3.8000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -3.6415e-05   1.4144e-04   0.0000e+00   1.7783e-04  -3.7500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -4.0859e-05   1.5869e-04   0.0000e+00   1.9953e-04  -3.7000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -4.5844e-05   1.7806e-04   0.0000e+00   2.2387e-04  -3.6500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -5.1438e-05   1.9978e-04   0.0000e+00   2.5119e-04  -3.6000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -5.7714e-05   2.2416e-04   0.0000e+00   2.8184e-04  -3.5500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -6.4756e-05   2.5151e-04   0.0000e+00   3.1623e-04  -3.5000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -7.2658e-05   2.8220e-04   0.0000e+00   3.5481e-04  -3.4500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -8.1523e-05   3.1664e-04   0.0000e+00   3.9811e-04  -3.4000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -9.1471e-05   3.5527e-04   0.0000e+00   4.4668e-04  -3.3500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.0263e-04   3.9862e-04   0.0000e+00   5.0119e-04  -3.3000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.1515e-04   4.4726e-04   0.0000e+00   5.6234e-04  -3.2500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.2921e-04   5.0184e-04   0.0000e+00   6.3096e-04  -3.2000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.4497e-04   5.6307e-04   0.0000e+00   7.0795e-04  -3.1500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.6266e-04   6.3178e-04   0.0000e+00   7.9433e-04  -3.1000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -1.8251e-04   7.0886e-04   0.0000e+00   8.9125e-04  -3.0500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.0478e-04   7.9536e-04   0.0000e+00   1.0000e-03  -3.0000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.2976e-04   8.9241e-04   0.0000e+00   1.1220e-03  -2.9500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.5780e-04   1.0013e-03   0.0000e+00   1.2589e-03  -2.9000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -2.8926e-04   1.1235e-03   0.0000e+00   1.4125e-03  -2.8500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -3.2455e-04   1.2606e-03   0.0000e+00   1.5849e-03  -2.8000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -3.6415e-04   1.4144e-03   0.0000e+00   1.7783e-03  -2.7500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -4.0858e-04   1.5869e-03   0.0000e+00   1.9953e-03  -2.7000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -4.5844e-04   1.7806e-03   0.0000e+00   2.2387e-03  -2.6500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -5.1438e-04   1.9978e-03   0.0000e+00   2.5119e-03  -2.6000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -5.7714e-04   2.2416e-03   0.0000e+00   2.8184e-03  -2.5500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -6.4756e-04   2.5151e-03   0.0000e+00   3.1623e-03  -2.5000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -7.2658e-04   2.8220e-03   0.0000e+00   3.5481e-03  -2.4500e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -8.1523e-04   3.1664e-03   0.0000e+00   3.9811e-03  -2.4000e+00 
  6.9290e+14   1.1892e+01   9.2000e-01  -9.1470e-04   3.5527e-03   0.0000e+00   4.4668e-03  -2.3500e+00 
  6.9291e+14   1.1892e+01   9.2000e-01  -1.0263e-03   3.9862e-03   0.0000e+00   5.0119e-03  -2.3000e+00 
  6.9291e+14   1.1892e+01   9.2000e-01  -1.1515e-03   4.4726e-03   0.0000e+00   5.6234e-03  -2.2500e+00 
  6.9291e+14   1.1892e+01   9.2000e-01  -1.2920e-03   5.0183e-03   0.0000e+00   6.3096e-03  -2.2000e+00 
  6.9291e+14   1.1892e+01   9.2000e-01  -1.4497e-03   5.6307e-03   0.0000e+00   7.0795e-03  -2.1500e+00 
  6.9291e+14   1.1892e+01   9.2000e-01  -1.6266e-03   6.3177e-03   0.0000e+00   7.9433e-03  -2.1000e+00 
  6.9292e+14   1.1892e+01   9.2000e-01  -1.8250e-03   7.0886e-03   0.0000e+00   8.9125e-03  -2.0500e+00 
  6.9292e+14   1.1892e+01   9.2000e-01  -2.0477e-03   7.9535e-03   0.0000e+00   1.0000e-02  -2.0000e+00 
  6.9293e+14   1.1892e+01   9.2000e-01  -2.2976e-03   8.9239e-03   0.0000e+00   1.1220e-02  -1.9500e+00 
  6.9293e+14   1.1892e+01   9.2000e-01  -2.5779e-03   1.0013e-02   0.0000e+00   1.2589e-02  -1.9000e+00 
  6.9294e+14   1.1892e+01   9.2000e-01  -2.8924e-03   1.1234e-02   0.0000e+00   1.4125e-02  -1.8500e+00 
  6.9295e+14   1.1892e+01   9.2000e-01  -3.2453e-03   1.2605e-02   0.0000e+00   1.5849e-02  -1.8000e+00 
  6.9296e+14   1.1892e+01   9.2000e-01  -3.6412e-03   1.4143e-02   0.0000e+00   1.7783e-02  -1.7500e+00 
  6.9298e+14   1.1892e+01   9.2000e-01  -4.0854e-03   1.5869e-02   0.0000e+00   1.9953e-02  -1.7000e+00 
  6.9300e+14   1.1892e+01   9.2000e-01  -4.5837e-03   1.7805e-02   0.0000e+00   2.2387e-02  -1.6500e+00 
  6.9303e+14   1.1892e+01   9.2000e-01  -5.1428e-03   1.9977e-02   0.0000e+00   2.5119e-02  -1.6000e+00 
  6.9306e+14   1.1891e+01   9.2000e-01  -5.7701e-03   2.2414e-02   0.0000e+00   2.8184e-02  -1.5500e+00 
  6.9310e+14   1.1891e+01   9.2000e-01  -6.4737e-03   2.5148e-02   0.0000e+00   3.1623e-02  -1.5000e+00 
  6.9316e+14   1.1891e+01   9.2000e-01  -7.2631e-03   2.8216e-02   0.0000e+00   3.5481e-02  -1.4500e+00 
  6.9322e+14   1.1890e+01   9.2000e-01  -8.1485e-03   3.1658e-02   0.0000e+00   3.9811e-02  -1.4000e+00 
  6.9331e+14   1.1890e+01   9.2000e-01  -9.1417e-03   3.5519e-02   0.0000e+00   4.4668e-02  -1.3500e+00 
  6.9341e+14   1.1889e+01   9.2000e-01  -1.0256e-02   3.9850e-02   0.0000e+00   5.0119e-02  -1.3000e+00 
  6.9354e+14   1.1889e+01   9.2000e-01  -1.1505e-02   4.4709e-02   0.0000e+00   5.6234e-02  -1.2500e+00 
  6.9371e+14   1.1888e+01   9.2000e-01  -1.2905e-02   5.0159e-02   0.0000e+00   6.3096e-02  -1.2000e+00 
  6.9392e+14   1.1886e+01   9.2000e-01  -1.4476e-02   5.6273e-02   0.0000e+00   7.0795e-02  -1.1500e+00 
  6.9418e+14   1.1885e+01   9.2000e-01  -1.6236e-02   6.3129e-02   0.0000e+00   7.9433e-02  -1.1000e+00 
  6.9451e+14   1.1883e+01   9.2000e-01  -1.8208e-02   7.0818e-02   0.0000e+00   8.9125e-02  -1.0500e+00 
  6.9492e+14   1.1881e+01   9.2000e-01  -2.0418e-02   7.9439e-02   0.0000e+00   1.0000e-01  -1.0000e+00 
  6.9544e+14   1.1878e+01   9.2000e-01  -2.2892e-02   8.9104e-02   0.0000e+00   1.1220e-01  -9.5000e-01 
  6.9609e+14   1.1874e+01   9.2000e-01  -2.5660e-02   9.9937e-02   0.0000e+00   1.2589e-01  -9.0000e-01 
  6.9691e+14   1.1870e+01   9.2000e-01  -2.8757e-02   1.1208e-01   0.0000e+00   1.4125e-01  -8.5000e-01 
  6.9793e+14   1.1864e+01   9.2000e-01  -3.2217e-02   1.2567e-01   0.0000e+00   1.5849e-01  -8.0000e-01 
  6.9921e+14   1.1857e+01   9.2000e-01  -3.6080e-02   1.4090e-01   0.0000e+00   1.7783e-01  -7.5000e-01 
  7.0081e+14   1.1848e+01   9.2000e-01  -4.0386e-02   1.5794e-01   0.0000e+00   1.9953e-01  -7.0000e-01 
  7.0281e+14   1.1838e+01   9.2000e-01  -4.5179e-02   1.7699e-01   0.0000e+00   2.2387e-01  -6.5000e-01 
  7.0528e+14   1.1824e+01   9.2000e-01  -5.0503e-02   1.9829e-01   0.0000e+00   2.5119e-01  -6.0000e-01 
  7.0836e+14   1.1809e+01   9.2000e-01  -5.6401e-02   2.2206e-01   0.0000e+00   2.8184e-01  -5.5000e-01 
  7.1215e+14   1.1789e+01   9.2000e-01  -6.2914e-02   2.4858e-01   0.0000e+00   3.1623e-01  -5.0000e-01 
  7.1681e+14   1.1767e+01   9.2000e-01  -7.0079e-02   2.7811e-01   0.0000e+00   3.5481e-01  -4.5000e-01 
  7.2251e+14   1.1740e+01   9.2000e-01  -7.7921e-02   3.1094e-01   0.0000e+00   3.9811e-01  -4.0000e-01 
  7.2944e+14   1.1709e+01   9.2000e-01  -8.6452e-02   3.4737e-01   0.0000e+00   4.4668e-01  -3.5000e-01 
  7.3779e+14   1.1674e+01   9.2000e-01  -9.5665e-02   3.8771e-01   0.0000e+00   5.0119e-01  -3.0000e-01 
  7.4778e+14   1.1635e+01   9.2000e-01  -1.0552e-01   4.3227e-01   0.0000e+00   5.6234e-01  -2.5000e-01 
  7.5960e+14   1.1593e+01   9.2000e-01  -1.1596e-01   4.8134e-01   0.0000e+00   6.3096e-01  -2.0000e-01 
  7.7345e+14   1.1549e+01   9.2000e-01  -1.2687e-01   5.3523e-01   0.0000e+00   7.0795e-01  -1.5000e-01 
  7.8946e+14   1.1505e+01   9.2000e-01  -1.3809e-01   5.9422e-01   0.0000e+00   7.9433e-01  -1.0000e-01 
  8.0776e+14   1.1464e+01   9.2000e-01  -1.4944e-01   6.5859e-01   0.0000e+00   8.9125e-01  -5.0000e-02 
  8.2839e+14   1.1427e+01   9.2000e-01  -1.6067e-01   7.2861e-01   0.0000e+00   1.0000e+00  -4.6288e-15 

 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.0812e-07   7.9058e-07   0.0000e+00   1.0000e-06  -6.0000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.3352e-07   8.8705e-07   0.0000e+00   1.1220e-06  -5.9500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.6201e-07   9.9528e-07   0.0000e+00   1.2589e-06  -5.9000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.9398e-07   1.1167e-06   0.0000e+00   1.4125e-06  -5.8500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -3.2985e-07   1.2530e-06   0.0000e+00   1.5849e-06  -5.8000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -3.7010e-07   1.4059e-06   0.0000e+00   1.7783e-06  -5.7500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -4.1526e-07   1.5774e-06   0.0000e+00   1.9953e-06  -5.7000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -4.6593e-07   1.7699e-06   0.0000e+00   2.2387e-06  -5.6500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -5.2278e-07   1.9858e-06   0.0000e+00   2.5119e-06  -5.6000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -5.8657e-07   2.2282e-06   0.0000e+00   2.8184e-06  -5.5500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -6.5814e-07   2.5000e-06   0.0000e+00   3.1623e-06  -5.5000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -7.3845e-07   2.8051e-06   0.0000e+00   3.5481e-06  -5.4500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -8.2855e-07   3.1474e-06   0.0000e+00   3.9811e-06  -5.4000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -9.2965e-07   3.5314e-06   0.0000e+00   4.4668e-06  -5.3500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.0431e-06   3.9623e-06   0.0000e+00   5.0119e-06  -5.3000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.1704e-06   4.4458e-06   0.0000e+00   5.6234e-06  -5.2500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.3132e-06   4.9882e-06   0.0000e+00   6.3096e-06  -5.2000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.4734e-06   5.5969e-06   0.0000e+00   7.0795e-06  -5.1500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.6532e-06   6.2798e-06   0.0000e+00   7.9433e-06  -5.1000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.8549e-06   7.0461e-06   0.0000e+00   8.9125e-06  -5.0500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.0812e-06   7.9058e-06   0.0000e+00   1.0000e-05  -5.0000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.3352e-06   8.8705e-06   0.0000e+00   1.1220e-05  -4.9500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.6201e-06   9.9528e-06   0.0000e+00   1.2589e-05  -4.9000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.9398e-06   1.1167e-05   0.0000e+00   1.4125e-05  -4.8500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -3.2985e-06   1.2530e-05   0.0000e+00   1.5849e-05  -4.8000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -3.7010e-06   1.4059e-05   0.0000e+00   1.7783e-05  -4.7500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -4.1526e-06   1.5774e-05   0.0000e+00   1.9953e-05  -4.7000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -4.6593e-06   1.7699e-05   0.0000e+00   2.2387e-05  -4.6500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -5.2278e-06   1.9858e-05   0.0000e+00   2.5119e-05  -4.6000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -5.8657e-06   2.2282e-05   0.0000e+00   2.8184e-05  -4.5500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -6.5814e-06   2.5000e-05   0.0000e+00   3.1623e-05  -4.5000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -7.3845e-06   2.8051e-05   0.0000e+00   3.5481e-05  -4.4500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -8.2855e-06   3.1474e-05   0.0000e+00   3.9811e-05  -4.4000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -9.2965e-06   3.5314e-05   0.0000e+00   4.4668e-05  -4.3500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.0431e-05   3.9623e-05   0.0000e+00   5.0119e-05  -4.3000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.1704e-05   4.4458e-05   0.0000e+00   5.6234e-05  -4.2500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.3132e-05   4.9882e-05   0.0000e+00   6.3096e-05  -4.2000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.4734e-05   5.5969e-05   0.0000e+00   7.0795e-05  -4.1500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.6532e-05   6.2798e-05   0.0000e+00   7.9433e-05  -4.1000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.8549e-05   7.0461e-05   0.0000e+00   8.9125e-05  -4.0500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.0812e-05   7.9058e-05   0.0000e+00   1.0000e-04  -4.0000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.3352e-05   8.8705e-05   0.0000e+00   1.1220e-04  -3.9500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.6201e-05   9.9528e-05   0.0000e+00   1.2589e-04  -3.9000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.9398e-05   1.1167e-04   0.0000e+00   1.4125e-04  -3.8500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -3.2985e-05   1.2530e-04   0.0000e+00   1.5849e-04  -3.8000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -3.7010e-05   1.4059e-04   0.0000e+00   1.7783e-04  -3.7500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -4.1526e-05   1.5774e-04   0.0000e+00   1.9953e-04  -3.7000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -4.6593e-05   1.7699e-04   0.0000e+00   2.2387e-04  -3.6500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -5.2278e-05   1.9858e-04   0.0000e+00   2.5119e-04  -3.6000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -5.8657e-05   2.2282e-04   0.0000e+00   2.8184e-04  -3.5500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -6.5814e-05   2.5000e-04   0.0000e+00   3.1623e-04  -3.5000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -7.3845e-05   2.8051e-04   0.0000e+00   3.5481e-04  -3.4500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -8.2855e-05   3.1474e-04   0.0000e+00   3.9811e-04  -3.4000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -9.2965e-05   3.5314e-04   0.0000e+00   4.4668e-04  -3.3500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.0431e-04   3.9623e-04   0.0000e+00   5.0119e-04  -3.3000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.1704e-04   4.4458e-04   0.0000e+00   5.6234e-04  -3.2500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.3132e-04   4.9882e-04   0.0000e+00   6.3096e-04  -3.2000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.4734e-04   5.5969e-04   0.0000e+00   7.0795e-04  -3.1500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.6532e-04   6.2798e-04   0.0000e+00   7.9433e-04  -3.1000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -1.8549e-04   7.0461e-04   0.0000e+00   8.9125e-04  -3.0500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.0812e-04   7.9058e-04   0.0000e+00   1.0000e-03  -3.0000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.3352e-04   8.8705e-04   0.0000e+00   1.1220e-03  -2.9500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.6201e-04   9.9528e-04   0.0000e+00   1.2589e-03  -2.9000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -2.9398e-04   1.1167e-03   0.0000e+00   1.4125e-03  -2.8500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -3.2985e-04   1.2530e-03   0.0000e+00   1.5849e-03  -2.8000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -3.7010e-04   1.4059e-03   0.0000e+00   1.7783e-03  -2.7500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -4.1526e-04   1.5774e-03   0.0000e+00   1.9953e-03  -2.7000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -4.6593e-04   1.7699e-03   0.0000e+00   2.2387e-03  -2.6500e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -5.2278e-04   1.9858e-03   0.0000e+00   2.5119e-03  -2.6000e+00 
  7.0347e+14   1.1886e+01   9.4000e-01  -5.8657e-04   2.2282e-03   0.0000e+00   2.8184e-03  -2.5500e+00 
